timestamp,server_id,cpu_used,q_len,network_in,network_out
105,Server 2,74,1,5,6
106,Server 0,71,1,12,8
106,Server 1,70,1,11,8
106,Server 2,74,1,5,6
107,Server 0,71,1,12,8
107,Server 1,70,1,11,8
107,Server 2,55,1,11,6
108,Server 0,71,1,12,8
108,Server 1,70,1,11,8
108,Server 2,55,1,11,6
109,Server 0,71,1,12,8
109,Server 1,70,1,11,8
109,Server 2,55,1,11,6
110,Server 0,71,1,12,8
110,Server 1,70,1,11,8
110,Server 2,55,1,11,6
111,Server 0,71,1,12,8
111,Server 1,70,1,11,8
111,Server 2,55,1,11,6
112,Server 0,71,1,12,8
112,Server 1,44,1,12,13
112,Server 2,55,1,11,6
113,Server 0,71,1,12,8
113,Server 1,44,1,12,13
113,Server 2,55,1,11,6
114,Server 0,71,1,12,8
114,Server 1,44,1,12,13
114,Server 2,55,1,11,6
115,Server 0,71,1,12,8
115,Server 1,44,1,12,13
115,Server 2,55,1,11,6
116,Server 0,78,1,5,14
116,Server 1,44,1,12,13
116,Server 2,55,1,11,6
117,Server 0,78,1,5,14
117,Server 1,44,1,12,13
117,Server 2,55,1,11,6
118,Server 0,78,1,5,14
118,Server 1,88,1,6,5
118,Server 2,55,1,11,6
119,Server 0,78,1,5,14
119,Server 1,88,1,6,5
119,Server 2,55,1,11,6
120,Server 0,78,1,5,14
120,Server 1,88,1,6,5
120,Server 2,55,1,11,6
121,Server 0,78,1,5,14
121,Server 1,88,1,6,5
121,Server 2,85,1,9,14
122,Server 0,82,1,13,9
122,Server 1,88,1,6,5
122,Server 2,85,1,9,14
123,Server 0,82,1,13,9
123,Server 1,88,1,6,5
123,Server 2,85,1,9,14
124,Server 0,82,1,13,9
124,Server 1,88,1,6,5
124,Server 2,85,1,9,14
125,Server 0,82,1,13,9
125,Server 1,88,1,6,5
125,Server 2,85,1,9,14
126,Server 0,82,1,13,9
126,Server 1,88,1,6,5
126,Server 2,85,1,9,14
127,Server 0,82,1,13,9
127,Server 1,88,1,6,5
127,Server 2,85,1,9,14
128,Server 0,82,1,13,9
128,Server 1,88,1,6,5
128,Server 2,85,1,9,14
129,Server 0,82,1,13,9
129,Server 1,88,1,6,5
129,Server 2,85,1,9,14
130,Server 0,82,1,13,9
130,Server 1,75,1,11,13
130,Server 2,85,1,9,14
131,Server 0,82,1,13,9
131,Server 1,75,1,11,13
131,Server 2,85,1,9,14
132,Server 0,82,1,13,9
132,Server 1,75,1,11,13
132,Server 2,85,1,9,14
133,Server 0,82,1,13,9
133,Server 1,75,1,11,13
133,Server 2,85,1,9,14
134,Server 0,82,1,13,9
134,Server 1,75,1,11,13
134,Server 2,85,1,9,14
135,Server 0,82,1,13,9
135,Server 1,54,1,8,12
135,Server 2,85,1,9,14
136,Server 0,82,1,13,9
136,Server 1,54,1,8,12
136,Server 2,55,1,15,6
137,Server 0,48,1,15,9
137,Server 1,54,1,8,12
137,Server 2,55,1,15,6
138,Server 0,48,1,15,9
138,Server 1,54,1,8,12
138,Server 2,55,1,15,6
139,Server 0,48,1,15,9
139,Server 1,54,1,8,12
