timestamp,server_id,cpu_used,q_len,network_in,network_out
89,Server 0,24,1,13,9
89,Server 1,0,0,0,0
89,Server 2,23,1,14,6
90,Server 0,24,1,13,9
90,Server 1,10,1,15,6
90,Server 2,23,1,14,6
91,Server 0,24,1,13,9
91,Server 1,10,1,15,6
91,Server 2,0,0,0,0
92,Server 0,24,1,13,9
92,Server 1,10,1,15,6
92,Server 2,0,0,0,0
93,Server 0,24,1,13,9
93,Server 1,10,1,15,6
93,Server 2,0,0,0,0
94,Server 0,24,1,13,9
94,Server 1,10,1,15,6
94,Server 2,0,0,0,0
95,Server 0,24,1,13,9
95,Server 1,10,1,15,6
95,Server 2,0,0,0,0
96,Server 0,24,1,13,9
96,Server 1,10,1,15,6
96,Server 2,0,0,0,0
97,Server 0,24,1,13,9
97,Server 1,10,1,15,6
97,Server 2,0,0,0,0
98,Server 0,24,1,13,9
98,Server 1,10,1,15,6
98,Server 2,0,0,0,0
99,Server 0,24,1,13,9
99,Server 1,10,1,15,6
99,Server 2,0,0,0,0
